EB_id,area,npix,ypix,xpix
44529c,0.02,1,148,171
33af0b,0.06,1,151,168
46bc2f,0.01,1,150,175
bc9584,0.01,1,150,168
397ad,0.02,1,145,170
947256,0.02,1,144,170
9793b2,0.03,1,145,171
ee7063,0.03,1,145,170
36225b,0.01,1,146,170
733149,0.02,1,146,170
c55426,0.02,1,148,172
f38b86,0.02,1,147,170
738e9e,0.12,1,152,169
8c5937,0.13,1,150,169
9889a0,0.42,1,150,172
9ee0d1,0.04,1,147,169
80217f,0.03,1,153,173
d8154f,0.07,1,147,168
476caf,0.01,1,152,170
a1f135,0.01,1,151,171
3e5948,0.03,1,149,169
c89737,0.03,1,150,169
f3ec6f,0.23,2,-99,-99
e58c61,0.04,1,151,170
1ddc34,0.02,1,150,168
65aefd,0.09,1,151,168
b526a2,0.06,1,151,169
659858,0.06,1,151,169
698048,0.07,1,151,168
fea578,0.02,1,151,168
77a58d,0.09,1,152,169
e8cf60,0.03,1,148,166
2ff667,0.02,1,147,167
650f9d,0.01,1,147,168
18d09f,0.02,1,150,174
a22eda,0.02,1,151,172
e08e65,0.01,1,149,167
31ea57,0.02,1,150,169
384ac9,0.02,1,148,167
f278a7,0.01,1,150,169
290b47,0.01,1,153,171
ee5a8,0.01,1,154,171
ae07c5,0.02,1,149,172
279e8b,0.02,1,151,170
986583,0.11,1,147,173
b748f,0.26,1,144,170
6ad704,0.01,1,150,175
e4d15f,0.12,1,152,173
925dd8,0.17,1,146,171
fd7e81,0.62,1,149,173
8c9173,0.01,1,150,173
fefb8,0.18,1,150,172
465bf7,0.19,1,150,173
b7d1b2,0.02,1,148,171
c9fbfa,0.43,1,149,168
4ec81c,0.01,1,147,169
d1cf10,0.03,1,148,169
4f3d4b,0.05,1,151,171
682c5,0.01,1,149,169
6078ec,0.1,1,151,170
bc68cc,0.03,1,147,167
a2a2a8,0.05,1,150,169
cd8e35,0.02,1,149,169
5237ec,0.09,1,151,170
d8b46b,0.02,1,148,167
f28d20,0.02,1,145,170
ad6431,0.01,1,144,170
2dd0f8,0.01,1,151,171
c84237,0.01,1,148,169
778fc2,0.01,1,147,167
d626e8,0.06,1,147,170
1db9eb,0.12,1,152,169
c19b73,0.01,1,151,168
dc8d0b,0.02,1,147,172
2a75df,0.03,1,147,172
4a1aed,0.05,1,146,172
4e4e20,0.1,1,147,170
305918,0.03,1,148,172
6d3a42,0.14,1,144,170
79c7b9,0.06,1,149,174
ca4847,0.02,1,151,174
7f404f,0.06,1,150,172
171487,0.22,1,150,173
fbb734,0.05,1,152,173
46f77d,0.02,1,148,171
51e68d,0.28,1,150,172
c79c57,0.19,1,152,173
36daae,0.06,1,147,169
299125,0.27,1,153,171
ec6508,0.02,1,151,171
dc1fdb,0.09,1,151,171
17d849,0.03,1,150,170
8f5d1d,0.04,1,150,169
cd4623,0.02,1,149,169
ee03c8,0.04,1,148,167
bb4bc1,0.13,1,150,169
3a47d1,0.01,1,152,170
157eec,0.02,1,152,170
b3a030,0.01,1,148,167
d632dc,0.03,1,149,167
62b1b1,0.07,1,152,170
4c42e0,0.02,1,149,167
fec25c,0.01,1,153,170
dcbd04,0.03,1,149,167
a740f9,0.11,1,153,170
42d904,0.01,1,145,170
53b15e,0.01,1,147,169
f7218f,0.01,1,150,173
88f98,0.03,1,150,169
7bdc9f,0.02,1,150,169
4ece41,0.01,1,150,168
11bc57,0.02,1,151,174
e907a8,0.3,1,146,172
9ce7ea,0.08,1,150,172
46e6e0,0.08,1,150,172
c77dbb,0.03,1,145,170
e67ef7,0.04,1,148,172
2403e8,0.02,1,150,173
e66ae7,0.17,1,151,174
f4361b,0.03,1,151,174
ad4a10,0.1,1,150,170
ac728,0.04,1,150,170
ece450,0.04,1,147,169
9b94eb,0.02,1,150,172
1e64da,0.11,1,150,172
98d699,0.02,1,147,169
c7db65,0.09,1,147,169
e925df,0.08,1,147,169
368324,0.02,1,148,169
a18d27,0.01,1,148,169
7912ea,0.03,1,151,171
471e3e,0.03,1,149,167
e01a33,0.11,1,151,170
fdce8d,0.04,1,149,167
4e3d9e,0.01,1,145,170
5bc782,0.01,1,146,172
c74c7f,0.02,1,146,169
e523f9,0.01,1,147,167
462302,0.01,1,148,169
819f98,0.02,1,151,174
49bb90,0.02,1,150,169
da1d7,0.03,1,150,173
a47a86,0.03,1,144,171
c5426,0.01,1,150,171
b1c180,0.05,1,145,171
6b8196,0.01,1,146,172
684dd5,0.01,1,147,172
890c86,0.05,1,149,173
d43578,0.08,1,145,170
441d30,0.01,1,150,172
bac26a,0.24,1,150,173
ad4b42,0.45,1,151,175
8d7178,0.02,1,151,174
448069,0.03,1,150,173
1ee159,0.07,1,146,170
982236,0.02,1,148,170
f3bc8f,0.27,1,147,169
21fde4,0.04,1,150,172
817ba5,0.01,1,146,169
7874b6,0.02,1,148,169
41c2dd,0.12,1,152,173
403c7d,0.02,1,149,169
8bf03,0.01,1,149,169
79526f,0.17,1,151,172
300c7e,0.06,1,151,172
b7da12,0.27,1,149,170
779796,0.08,1,150,170
2826f6,0.04,1,151,170
a8b495,0.03,1,150,170
f84d99,0.23,1,148,167
95ac0e,0.07,1,148,167
101463,0.02,1,152,170
1c9248,0.05,1,152,170
8b6242,0.02,1,148,166
71c844,0.02,1,148,167
2868ab,0.02,1,148,166
d14bc9,0.01,1,147,173
559e93,0.02,1,148,169
863b02,0.04,1,151,175
6ee59,0.01,1,146,171
39b54f,0.03,1,146,172
e35889,0.02,1,146,172
c20558,0.06,1,150,171
a6c0d1,0.1,1,150,174
911827,0.01,1,150,172
61eb28,0.02,1,151,170
80eaad,0.01,1,150,172
958a12,0.02,1,147,169
325413,0.02,1,153,171
95ab74,0.64,1,148,170
7f50bc,0.01,1,150,168
512ff1,0.01,1,148,167
43dacd,0.02,1,147,169
5d6974,0.04,1,148,169
150b94,0.09,1,151,171
d0b6b9,0.07,1,151,171
7ff5de,0.03,1,147,167
6ee06d,0.24,1,152,170
68d15a,0.01,1,151,171
60198b,0.02,1,148,166
4ef65e,0.01,1,148,167
e37b15,0.03,1,148,167
da1a93,0.11,1,151,170
21453a,0.1,1,148,167
916642,0.02,1,151,170
a913c5,0.39,1,149,167
c519a2,0.01,1,149,167
7ed3aa,0.01,1,152,169
9e0fbb,0.12,1,153,170
6f1d88,0.04,1,152,169
d03051,0.02,1,150,173
36f7ba,0.01,1,150,168
b773b8,0.02,1,151,174
476129,0.02,1,150,168
8b0394,0.01,1,151,168
a23294,0.21,2,-99,-99
1a5828,0.01,1,150,170
6ac1cc,0.1,1,144,171
2ffab8,0.03,1,145,170
2c6759,0.27,1,147,173
df95cc,0.02,1,150,173
621079,0.03,1,145,170
d3c0b,0.08,1,144,170
659c2d,0.02,1,147,172
8f5aa5,0.09,1,146,171
51e163,0.04,1,149,174
e1b4ac,0.05,1,147,172
115e2a,0.29,1,149,173
c8576b,0.02,1,146,170
cf67c8,0.05,1,150,173
25896b,0.03,1,147,170
12b969,0.26,2,-99,-99
80cd24,0.02,1,150,172
e53166,0.01,1,149,172
cc4028,0.16,1,146,169
4e68de,0.01,1,150,172
702604,0.04,1,152,173
8e2420,0.03,1,149,171
6fbf5c,0.04,1,151,172
f940c6,0.03,1,152,174
98ff76,0.04,1,152,173
986582,0.09,1,150,170
3e9a56,0.06,1,147,169
6fcd3f,0.04,1,147,169
4b2246,0.57,1,146,169
6ff61e,0.04,1,150,170
3e4e78,0.01,1,147,169
fbc0e3,0.02,1,150,171
473426,0.08,1,148,168
d54916,0.2,2,-99,-99
2fadc8,0.06,1,151,168
a5a62a,0.1,1,152,170
42f6f3,0.03,1,150,168
8bf0ae,0.88,1,152,169
73b04f,0.02,1,148,168
cc9a4,0.01,1,145,170
d4af70,0.01,1,147,169
6cecd7,0.13,1,148,171
f34cec,0.17,2,-99,-99
b07c90,0.16,1,149,167
